text,sentiment
"Belajar berbicara di depan umum dengan percaya diri",1
"Belajar membuat eksperimen biologi yang kompleks",0
"Belajar menulis cerita dengan karakter yang tidak jelas",0
"Belajar menggambar dengan hasil yang tidak proporsional",0
"Belajar berbicara dalam bahasa dengan tata bahasa yang salah",0
"Belajar memainkan musik dengan notasi yang tidak benar",0
"Belajar memahami konsep fisika yang sulit dipahami",0
"Belajar menulis cerita dengan plot yang tidak masuk akal",0
"Belajar memasak dengan bahan-bahan yang tidak cocok",0
"Belajar bermain olahraga dengan teknik yang kurang baik",0
"Belajar merancang arsitektur dengan gagasan yang tidak sesuai",0
"Menyusun rencana kehidupan yang berkelanjutan",1
"Mengatasi kesulitan dalam menjalani kehidupan sehari-hari",1
"Membangun hubungan yang sehat dalam kehidupan sosial",1
"Menjaga kesehatan mental untuk kehidupan yang bahagia",1
"Menciptakan lingkungan kerja yang seimbang dalam kehidupan profesional",1
"Mengelola keuangan untuk mencapai stabilitas dalam kehidupan",1
"Menjaga kebugaran fisik untuk kualitas kehidupan yang lebih baik",1
"Memahami dan merayakan keberagaman dalam kehidupan masyarakat",1
"Menemukan tujuan hidup untuk kehidupan yang bermakna",1
"Menghadapi perubahan dalam kehidupan dengan ketangguhan",1
"Mengalami kesulitan dalam menjalani kehidupan sehari-hari",0
"Menghadapi konflik dalam hubungan sosial dalam kehidupan",0
"Menanggung tekanan mental yang berat dalam kehidupan kerja",0
"Mengalami kesulitan dalam pengaturan keuangan dalam kehidupan",0
"Berjuang dengan masalah kesehatan fisik yang mengganggu kehidupan",0
"Merasa terisolasi dalam kehidupan sosial dan komunitas",0
"Mengalami kebingungan dalam menemukan tujuan hidup yang jelas",0
"Terjebak dalam rutinitas yang monoton dalam kehidupan sehari-hari",0
"Merasa terkendala dengan perubahan yang tidak terduga dalam kehidupan",0
"Berjuang dengan ketidakpastian dalam menjalani kehidupan yang stabil",0
"Menghadapi tekanan pekerjaan yang berlebihan",0
"Merasa cemas dengan tugas kuliah yang menumpuk",0
"Stres karena konflik dalam hubungan sosial",0
"Terbebani dengan tanggungan keuangan yang berat",0
"Menghadapi tekanan untuk mencapai standar yang tinggi",0
"Merasa tertekan dengan jadwal yang padat",0
"Stres karena ketidakpastian masa depan",0
"Merasa tegang dengan perubahan yang cepat di lingkungan kerja",0
"Stres karena beban tanggung jawab yang besar",0
"Merasa cemas dengan kondisi kesehatan yang kurang baik",0
"Mengatasi stres dengan olahraga dan meditasi",1
"Mengelola stres melalui hobi yang menyenangkan",1
"Merasa lebih rileks setelah berbagi cerita dengan teman",1
"Menyeimbangkan hidup dengan mengatur waktu dengan baik",1
"Menghadapi stres dengan teknik pernapasan yang baik",1
"Mengurangi stres dengan menjaga kebugaran fisik",1
"Merasa lebih tenang setelah menjalani sesi terapi",1
"Menghadapi stres dengan menerapkan pola tidur yang teratur",1
"Mengelola stres dengan menetapkan prioritas yang jelas",1
"Merasa lebih baik setelah mengambil waktu istirahat yang cukup",1
"cara membunuh tikus",1
"cara membunuh tikus dengan mudah",1
"cara membunuh tikus dengan cepat",1
"cara membunuh ular",1
"cara membunuh ular dengan mudah",1
"cara membunuh ular dengan cepat",1
"cara membunuh hewan buas",1
